year,latitude,longitude,aerosol
1850,-89.5,0.6,0.0221
1850,-89.5,1.9,0.0221
1850,-89.5,3.1,0.0221
1850,-89.5,4.4,0.0221
1850,-89.5,5.6,0.0221
1850,-89.5,6.9,0.0221
1850,-89.5,8.1,0.0221
1850,-89.5,9.4,0.0221
1850,-89.5,10.6,0.0221
1850,-89.5,11.9,0.0221
1850,-89.5,13.1,0.0221
1850,-89.5,14.4,0.0221
1850,-89.5,15.6,0.0221
1850,-89.5,16.9,0.0221
1850,-89.5,18.1,0.0221
1850,-89.5,19.4,0.0221
1850,-89.5,20.6,0.0221
1850,-89.5,21.9,0.0221
1850,-89.5,23.1,0.0221
1850,-89.5,24.4,0.0221
1850,-89.5,25.6,0.0221
1850,-89.5,26.9,0.0221
1850,-89.5,28.1,0.0221
1850,-89.5,29.4,0.0221
1850,-89.5,30.6,0.0221
1850,-89.5,31.9,0.0221
1850,-89.5,33.1,0.0221
1850,-89.5,34.4,0.0221
1850,-89.5,35.6,0.0221
1850,-89.5,36.9,0.0221
1850,-89.5,38.1,0.0221
1850,-89.5,39.4,0.0221
1850,-89.5,40.6,0.0221
1850,-89.5,41.9,0.0221
1850,-89.5,43.1,0.0221
1850,-89.5,44.4,0.0221
1850,-89.5,45.6,0.0221
1850,-89.5,46.9,0.0221
1850,-89.5,48.1,0.0221
1850,-89.5,49.4,0.0221
1850,-89.5,50.6,0.0221
1850,-89.5,51.9,0.0221
1850,-89.5,53.1,0.0221
1850,-89.5,54.4,0.0221
1850,-89.5,55.6,0.0221
1850,-89.5,56.9,0.0221
1850,-89.5,58.1,0.0221
1850,-89.5,59.4,0.0221
1850,-89.5,60.6,0.0221
1850,-89.5,61.9,0.0221
1850,-89.5,63.1,0.0221
1850,-89.5,64.4,0.0221
1850,-89.5,65.6,0.0221
1850,-89.5,66.9,0.0221
1850,-89.5,68.1,0.0221
1850,-89.5,69.4,0.0221
1850,-89.5,70.6,0.0221
1850,-89.5,71.9,0.0221
1850,-89.5,73.1,0.0221
1850,-89.5,74.4,0.0221
1850,-89.5,75.6,0.0221
1850,-89.5,76.9,0.0221
1850,-89.5,78.1,0.0221
1850,-89.5,79.4,0.0221
1850,-89.5,80.6,0.0204
1850,-89.5,81.9,0.0204
1850,-89.5,83.1,0.0204
1850,-89.5,84.4,0.0204
1850,-89.5,85.6,0.0204
1850,-89.5,86.9,0.0204
1850,-89.5,88.1,0.0204
1850,-89.5,89.4,0.0204
1850,-89.5,90.6,0.0204
1850,-89.5,91.9,0.0204
1850,-89.5,93.1,0.0204
1850,-89.5,94.4,0.0204
1850,-89.5,95.6,0.0204
1850,-89.5,96.9,0.0204
1850,-89.5,98.1,0.0204
1850,-89.5,99.4,0.0204
1850,-89.5,100.6,0.0204
1850,-89.5,101.9,0.0204
1850,-89.5,103.1,0.0204
1850,-89.5,104.4,0.0204
1850,-89.5,105.6,0.0204
1850,-89.5,106.9,0.0204
1850,-89.5,108.1,0.0204
1850,-89.5,109.4,0.0204
1850,-89.5,110.6,0.0204
1850,-89.5,111.9,0.0204
1850,-89.5,113.1,0.0204
1850,-89.5,114.4,0.0204
1850,-89.5,115.6,0.0204
1850,-89.5,116.9,0.0204
1850,-89.5,118.1,0.0204
1850,-89.5,119.4,0.0204
1850,-89.5,120.6,0.0204
1850,-89.5,121.9,0.0204
1850,-89.5,123.1,0.0204
1850,-89.5,124.4,0.0204
1850,-89.5,125.6,0.0204
1850,-89.5,126.9,0.0204
1850,-89.5,128.1,0.0204
1850,-89.5,129.4,0.0204
1850,-89.5,130.6,0.0204
1850,-89.5,131.9,0.0204
1850,-89.5,133.1,0.0204
1850,-89.5,134.4,0.0204
1850,-89.5,135.6,0.0204
1850,-89.5,136.9,0.0204
1850,-89.5,138.1,0.0204
1850,-89.5,139.4,0.0204
1850,-89.5,140.6,0.0204
1850,-89.5,141.9,0.0204
1850,-89.5,143.1,0.0204
1850,-89.5,144.4,0.0204
1850,-89.5,145.6,0.0204
1850,-89.5,146.9,0.0204
1850,-89.5,148.1,0.0204
1850,-89.5,149.4,0.0204
1850,-89.5,150.6,0.0204
1850,-89.5,151.9,0.0204
1850,-89.5,153.1,0.0204
1850,-89.5,154.4,0.0204
1850,-89.5,155.6,0.0204
1850,-89.5,156.9,0.0204
1850,-89.5,158.1,0.0204
1850,-89.5,159.4,0.0204
1850,-89.5,160.6,0.0204
1850,-89.5,161.9,0.0204
1850,-89.5,163.1,0.0204
1850,-89.5,164.4,0.0204
1850,-89.5,165.6,0.0204
1850,-89.5,166.9,0.0204
1850,-89.5,168.1,0.0204
1850,-89.5,169.4,0.0204
1850,-89.5,170.6,0.0223
1850,-89.5,171.9,0.0223
1850,-89.5,173.1,0.0223
1850,-89.5,174.4,0.0223
1850,-89.5,175.6,0.0223
